"","x","y","bp","dist"
"273",-49.0358,-28.6852,488,2379.89759184993
"274",-42.1582,-20.7346,479,2377.37334580037
"275",-52.591,-23.3162,455,1691.02442274055
"276",-53.27,-29.44,473,2236.55044051755
"277",-50.5021,-5.8202,477,1383.14636344444
"278",-42.1582,-20.7346,471,2377.37334580037
"279",-54.8278,-16.5167,477,986.176679739005
"280",-55.5016,-27.11,474,1911.93111459841
"281",-50.5021,-5.8202,456,1383.14636344444
"282",-51.67,-27.56,450,2129.96098781929
"283",-43.55,-12.06,462,2011.50837369882
"284",-52.892,-30.845,465,2392.94404700452
"285",-58.6984,-34.306,459,2607.19100299169
"286",-50.53,-5.86,450,1378.48883977061
"287",-50.5648,-24.0218,454,1883.24394863934
"288",-48.9379,-28.6201,461,2379.93724890455
"289",-42.2852,-22.8652,453,2470.96532620077
"290",-57.149,-27.552,445,1904.85524413013
"291",-48.9918,-28.6129,453,2376.10781711975
"292",-50.885,-24.0998,435,1868.2465884322
"293",-58.5924,-34.2289,439,2600.12138973451
"294",-54.8278,-16.5167,444,986.176679739005
"295",-56.729,-27.506,429,1912.06944805573
"296",-51.533,-29.981,422,2367.30124277965
"297",-58.744,-34.346,435,2610.99997301126
"298",-54.4591,-25.1973,412,1763.66699929947
"299",-54.8439,-16.495,421,983.348659942068
"300",-47.3844,-23.4517,403,2074.15865045336
"301",-52.1195,-29.2885,444,2272.62081979281
"302",-52.1195,-29.2885,444,2272.62081979281
"303",-56.169,-27.356,415,1913.98281650486
"304",-54.656,-27.529,412,1987.36512166944
"305",-58.26,-34.127,418,2593.63143132935
"306",-36.81,-6.16,408,2817.44305576229
"307",-58.568,-34.209,409,2598.26575504378
"308",-50.5353,-5.82,407,1379.82405880648
"309",-58.082,-28.319,406,1964.28051396111
"310",-52.33,-3.54,399,1342.12751080882
"311",-49.1166,-5.3842,404,1542.76285637335
"312",-54.4437,-25.1797,403,1762.67557816646
"313",-54.668,-27.544,400,1988.40168866577
"314",-49.0371,-4.9159,393,1572.73945872307
"315",-49.0757,-20.6365,400,1745.3502215587
"316",-51.7418,-29.1361,399,2275.88316975458
"317",-52.2,-29.17,399,2257.34126521573
"318",-56.615,-27.637,400,1929.32741255661
"319",-37.9295,-12.4038,401,2623.76621814795
"320",-52.174,-31.698,397,2507.70610306164
"321",-56.269,-27.415,397,1916.86705553709
"322",-58.568,-34.209,394,2598.26575504378
"323",-50.5021,-5.8202,394,1383.14636344444
"324",-50.4992,-5.8237,394,1383.27398901244
"325",-52.3986,-22.0969,389,1599.07557088922
"326",-58.082,-28.319,393,1964.28051396111
"327",-52.1585,-29.2555,392,2267.5917645967
"328",-52.2,-29.17,392,2257.34126521573
"329",-35.5528,-7.7417,350,2921.16922084214
"330",-57.149,-27.552,389,1904.85524413013
"331",-51.9456,-29.6111,391,2312.08493677167
"332",-37.92,-12.43,391,2624.85003004621
"333",-50.885,-24.0998,389,1868.2465884322
"334",-42.1582,-20.7346,387,2377.37334580037
"335",-42.1582,-20.7346,387,2377.37334580037
"336",-52.1195,-29.2885,390,2272.62081979281
"337",-53.55,-29.689,354,2250.05620630542
"338",-54.3595,-24.7803,379,1727.87339352404
"339",-40.5667,-7.5333,327,2380.0364286052
"340",-50.5021,-5.8202,382,1383.14636344444
"341",-35.5528,-7.7417,334,2921.16922084214
"342",-57.149,-27.552,378,1904.85524413013
"343",-52.98,-27.08,363,2017.68082691494
"344",-56.615,-27.637,355,1929.32741255661
"345",-41.25,-13.7514,327,2272.42971511416
"346",-47.47,-5.52,316,1704.97587083765
"347",-57.149,-27.552,322,1904.85524413013
"348",-52.591,-23.3162,298,1691.02442274055
"349",-52.1195,-29.2885,316,2272.62081979281
"350",-56.73,-27.52,322,1913.51803195867
"351",-48.47,-23.59,306,2000.08698420207
"352",-52.2,-29.17,304,2257.34126521573
"353",-53.1869,-3.5514,304,1267.77051016207
"354",-50.605,-30.431,292,2455.32633472179
"355",-53.536,-29.532,251,2234.80642336754
"356",-52.5,-23.5,231,1712.83461306138
"357",-52.1195,-29.2885,208,2272.62081979281
"358",-54.4885,-25.2885,223,1771.21327539067
"359",-53.033,-27.083,220,2015.38735699571
"360",-52.431,-21.703,197,1564.21361917966
"361",-52.1195,-29.2885,197,2272.62081979281
"362",-56.615,-27.637,200,1929.32741255661
"363",-43.6133,-21.7785,194,2293.1123852665
"364",-54.6029,-25.4451,198,1781.30432448353
"365",-53.733,-27.167,189,1990.69066305051
"366",-35.0169,-7.9837,223,2975.50207711153
"367",-52.681,-29.729,191,2290.47327431756
"368",-47.47,-5.52,193,1704.97587083765
"369",-43.6047,-22.9977,203,2361.25159309043
"370",-55.1,-27.8,196,1997.71709835557
"371",-52.2481,-4.7173,191,1273.33506039818
"372",-54.8278,-16.5167,181,986.176679739005
"373",-54.3595,-24.7803,178,1727.87339352404
"374",-54.8278,-16.5167,171,986.176679739005
"375",-63.84,-19.44,167,960.300754804357
"376",-51.565,-29.372,168,2307.11879510568
"377",-54.4842,-25.2854,164,1771.11108033634
"378",-52.5,-23.5,147,1712.83461306138
"379",-52.681,-29.729,147,2290.47327431756
"380",-48.7305,-1.7421,138,1781.8399985281
