Unnamed: 0,Longitude,Latitude,dist,bp,C14Age,C14SD,calCurves,resOffsets,resErrors,sim0,sim1
  205,-53.55,-29.689,2250.05620630542,  354,  345,  105,shcal20,    0,    0, 2470, 1540
  206,-40.5667,-7.5333,2380.0364286052,  327,  340,  150,shcal20,    0,    0, 2320,    0
  207,-52.98,-27.08,2017.68082691494,  363,  320,   60,shcal20,    0,    0, 2920, 1810
  208,-41.25,-13.7514,2272.42971511416,  327,  305,   65,shcal20,    0,    0, 2560,    0
  209,-47.47,-5.52,1704.97587083765,  316,  300,   30,shcal20,    0,    0, 3430, 3850
  210,-48.47,-23.59,2000.08698420207,  306,  290,   40,shcal20,    0,    0, 3250, 1750
  211,-53.1869,-3.5514,1267.77051016207,  304,  290,   30,shcal20,    0,    0, 4150,    0
  212,-50.605,-30.431,2455.32633472179,  292,  280,   50,shcal20,    0,    0, 2320, 1330
  213,-53.536,-29.532,2234.80642336754,  251,  265,   90,shcal20,    0,    0, 2560, 1600
  214,-53.033,-27.083,2015.38735699571,  220,  250,   90,shcal20,    0,    0, 2920, 1810
  215,-52.431,-21.703,1564.21361917966,  197,  240,   30,shcal20,    0,    0, 3760, 2050
  216,-43.6133,-21.7785,2293.1123852665,  194,  230,   40,shcal20,    0,    0, 2710, 1240
  217,-54.6029,-25.4451,1781.30432448353,  198,  230,   80,shcal20,    0,    0, 3220, 2050
  218,-53.733,-27.167,1990.69066305051,  189,  225,   55,shcal20,    0,    0, 2920, 1840
  219,-35.0169,-7.9837,2975.50207711153,  223,  225,  150,shcal20,    0,    0, 1480,    0
  220,-52.681,-29.729,2290.47327431756,  191,  220,   85,shcal20,    0,    0, 2470, 1510
  221,-43.6047,-22.9977,2361.25159309043,  203,  215,  120,shcal20,    0,    0, 2710, 1120
  222,-55.1,-27.8,1997.71709835557,  196,  215,  105,shcal20,    0,    0, 2860, 1840
  223,-52.2481,-4.7173,1273.33506039818,  191,  210,   30,shcal20,    0,    0, 4120, 4210
  224,-63.84,-19.44,960.300754804357,  167,  195,   70,shcal20,    0,    0,    0,    0
  225,-51.565,-29.372,2307.11879510568,  168,  190,   85,shcal20,    0,    0, 2530, 1510
  226,-54.4842,-25.2854,1771.11108033634,  164,  190,   75,shcal20,    0,    0, 3280, 2110
  227,-52.2464,-4.7161,1273.56556195055,  101,  150,   30,shcal20,    0,    0, 4120, 4210
  228,-35.02, -8.0,2974.89869216472,  183,  150,  150,shcal20,    0,    0, 1480,    0
  229,-52.3214,-23.5486,1728.24081470082,  154,  135,  120,shcal20,    0,    0, 3430, 2020
  230,-53.383,-29.824,2270.40081302758,  140,  130,  105,shcal20,    0,    0, 2470, 1540
  231,-53.33,-23.667,1678.02408343608,  103,  110,   60,shcal20,    0,    0, 3460, 2140
  232,-54.2646,-24.0764,1665.00902683276,   95,   85,   60,shcal20,    0,    0, 3430, 2170
